,path,folder,data
0,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,1152100.jpg
1,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,1503858.jpg
2,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,1687143.jpg
3,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,1925494.jpg
4,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,194643.jpg
5,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,195160.jpg
6,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,2003290.jpg
7,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,2019408.jpg
8,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,2111981.jpg
9,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,2124579.jpg
10,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,2218680.jpg
11,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,2236338.jpg
12,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,2508636.jpg
13,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,2871261.jpg
14,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,3092704.jpg
15,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,309892.jpg
16,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,344397.jpg
17,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,3475871.jpg
18,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,398345.jpg
19,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,416067.jpg
20,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,540882.jpg
21,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,648055.jpg
22,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,714866.jpg
23,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,930553.jpg
24,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,pizza,971934.jpg
25,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,100274.jpg
26,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,1016217.jpg
27,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,1285886.jpg
28,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,1302563.jpg
29,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,1627703.jpg
30,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,1868005.jpg
31,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,1882831.jpg
32,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,2117351.jpg
33,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,2144308.jpg
34,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,27415.jpg
35,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,296375.jpg
36,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,3424937.jpg
37,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,354513.jpg
38,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,3873283.jpg
39,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,502076.jpg
40,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,673127.jpg
41,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,690177.jpg
42,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,894825.jpg
43,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,steak,966174.jpg
44,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,1172255.jpg
45,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,1230335.jpg
46,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,1245193.jpg
47,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,1434806.jpg
48,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,1600999.jpg
49,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,1680893.jpg
50,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,1742201.jpg
51,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,175783.jpg
52,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,1987407.jpg
53,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,207578.jpg
54,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,2190404.jpg
55,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,2276986.jpg
56,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,2385731.jpg
57,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,2394442.jpg
58,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,2521706.jpg
59,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,2540511.jpg
60,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,2715127.jpg
61,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,2741434.jpg
62,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,3177743.jpg
63,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,3196729.jpg
64,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,343036.jpg
65,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,3806282.jpg
66,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,3837522.jpg
67,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,46797.jpg
68,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,479711.jpg
69,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,499605.jpg
70,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,684266.jpg
71,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,719108.jpg
72,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,858157.jpg
73,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,887831.jpg
74,D:\mreza\TestProjects\Python\DL\ViT\Data\pizza_sushi_steak\test,sushi,988559.jpg
